Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2
перечных	перечный	A	gen,pl
появилось	появиться	V	n,past,sg
в	в	PR	
западных	западный	A	loc,pl
странах	страна	S	f,loc,pl
после	после	PR	
знаменитых	знаменитый	A	gen,pl
рейдов	рейд	S	gen,m,pl
капитана	капитан	S	gen,m,sg
Джеймса	Джеймс	S	gen,m,sg
Кука	Кук	S	gen,m,sg
в	в	PR	
Южные	южный	A	acc,pl
моря	море	S	acc,n,pl
.			
Согласно	согласно	PR	
данным	данные	S	dat,pl
Национального	национальный	A	gen,n,sg
аутистического	аутистический	A	gen,n,sg
общества	общество	S	gen,n,sg
частота	частота	S	f,nom,sg
аутизма	аутизм	S	gen,m,sg
сейчас	сейчас	ADV	
может	мочь	V	3p,pres,sg
превышать	превышать	V	inf
1			
случай	случай	S	acc,m,sg
на	на	PR	
каждые	каждый	APRO	acc,pl
100			
детей	ребенок	S	gen,m,pl
.			
Конечная	конечный	A	f,nom,sg
цель	цель	S	f,nom,sg
математики	математика	S	f,gen,sg
—			
вообще	вообще	ADV	
избавиться	избавиться	V	inf
от	от	PR	
необходимости	необходимость	S	f,gen,sg
о	о	PR	
чем-либо	что-либо	SPRO	loc,n
думать	думать	V	inf
.			
В	в	PR	
том-то	то-то	SPRO	loc,n,sg
и	и	CONJ	
дело	дело	S	n,nom,sg
,			
что	что	CONJ	
,			
кроме	кроме	PR	
действительных	действительный	A	gen,pl
чисел	число	S	gen,n,pl
,			
достаточно	достаточно	ADV	
изобрести	изобрести	V	inf
только	только	ADV	
одно	один	ANUM	acc,n,sg
число	число	S	acc,n,sg
—			
квадратный	квадратный	A	acc,m,sg
корень	корень	S	acc,m,sg
из	из	PR	
—1			
,			
после	после	PR	
этого	это	SPRO	gen,n,sg
можно	можно	ADV	
решить	решить	V	inf
любое	любой	APRO	acc,n,sg
алгебраическое	алгебраический	A	acc,n,sg
уравнение	уравнение	S	acc,n,sg
]			
Возможные	возможный	A	nom,pl
состояния	состояние	S	n,nom,pl
электронов	электрон	S	gen,m,pl
определяются	определять	V	3p,pl,pres
различными	различный	A	ins,pl
энергетическими	энергетический	A	ins,pl
подуровнями	подуровень	S	ins,m,pl
,			
которые	который	APRO	nom,pl
носят	носить	V	3p,pl,pres
название	название	S	acc,n,sg
орбиталей	орбиталь	S	f,gen,pl
.			
Указанный	указать	V	m,nom,partcp,pass,past,sg
выше	высоко	ADV	comp
вызов	вызов	S	m,nom,sg
функции	функция	S	f,gen,sg
вернет	вернуть	V	3p,pres,sg
все	весь	APRO	acc,pl
SNMP			
объекты	объект	S	acc,m,pl
из	из	PR	
SNMP			
агента	агент	S	gen,m,sg
,			
напущенного	напустить	V	gen,m,partcp,pass,past,sg
на	на	PR	
локальном	локальный	A	loc,m,sg
хосте	хост	S	loc,m,sg
.			
Эта	этот	APRO	f,nom,sg
группа	группа	S	f,nom,sg
включает	включать	V	3p,pres,sg
щелочные	щелочной	A	acc,pl
металлы	металл	S	acc,m,pl
натрий	натрий	S	acc,m,sg
(			
Na			
)			
и	и	CONJ	
калий	калий	S	acc,m,sg
(			
К			
),			
щелочноземельные	щелочноземельный	A	acc,pl
металлы	металл	S	acc,m,pl
магний	магний	S	acc,m,sg
(			
Мg			
)			
и	и	CONJ	
кальций	кальций	S	acc,m,sg
(			
Са			
)			
.			
Это	это	SPRO	n,nom,sg
сразу	сразу	ADV	
говорит	говорить	V	3p,pres,sg
нам	мы	SPRO	1p,dat,pl
,			
что	что	SPRO	n,nom
такое	такой	APRO	n,nom,sg
момент	момент	S	m,nom,sg
количественно	количественно	ADV	
.			
Собачка	собачка	S	f,nom,sg
нужна	нужный	A	brev,f,nom,sg
к	к	PR	
празднику	праздник	S	dat,m,sg
!			
Он	он	SPRO	3p,m,nom,sg
полагал	полагать	V	m,past,sg
,			
что	что	CONJ	
римлян	римлянин	S	acc,m,pl
сгубило	сгубить	V	n,past,sg
избыточное	избыточный	A	n,nom,sg
честолюбие	честолюбие	S	n,nom,sg
.			
ЕНЛ-1	ЕНЛ-1	S	acc,f,pl
получают	получать	V	3p,pl,pres
общенациональные	общенациональный	A	nom,pl
и	и	CONJ	
крупные	крупный	A	nom,pl
региональные	региональный	A	nom,pl
газеты	газета	S	f,nom,pl
и	и	CONJ	
телекомпании	телекомпания	S	f,nom,pl
,			
агентства	агентство	S	n,nom,pl
,			
иностранные	иностранный	A	nom,pl
дипломатические	дипломатический	A	nom,pl
представительства	представительство	S	n,nom,pl
в	в	PR	
России	Россия	S	f,loc,sg
.			
Телевизионные	телевизионный	A	nom,pl
Web-технологии	Web-технология	S	f,nom,pl
развиваются	развиваться	V	3p,pl,pres
в	в	PR	
нашей	наш	APRO	f,loc,sg
стране	страна	S	f,loc,sg
с	с	PR	
некоторым	некоторый	APRO	ins,n,sg
опозданием	опоздание	S	ins,n,sg
.			
Недели	неделя	S	f,gen,sg
через	через	PR	
две-три	два-три	NUM	acc,f
,			
не	не	ADV	
раньше	рано	ADV	comp
.			
Такой	такой	APRO	f,gen,sg
птицы	птица	S	f,gen,sg
не	не	ADV	
водилось	водиться	V	n,past,sg
в	в	PR	
здешних	здешний	A	loc,pl
местах	место	S	loc,n,pl
.			
Здесь	здесь	ADV	
он	он	SPRO	3p,m,nom,sg
не	не	ADV	
отказал	отказать	V	m,past,sg
себе	себя	SPRO	dat
в	в	PR	
удовольствии	удовольствие	S	loc,n,sg
заранее	заранее	ADV	
злорадно	злорадно	ADV	
вообразить	вообразить	V	inf
,			
как	как	ADV	
будет	быть	V	3p,pres,sg
сходить	сходить	V	inf
со	со	PR	
сцены	сцена	S	f,gen,sg
премьер	премьер	S	m,nom,sg
Борзых	Борзых	S	m,nom,sg
.			
Булькнуло	булькнуть	V	n,past,sg
,			
екнуло	екнуть	V	n,past,sg
,			
порскнуло	порскнуть	V	n,past,sg
,			
ахнуло	ахнуть	V	n,past,sg
-			
лучше	хорошо	ADV	comp
гляди	глядеть	V	2p,imper,sg
!			
-			
сзади	сзади	ADV	
,			
наверху	наверху	ADV	
,			
вниз	вниз	ADV	
головой	голова	S	f,ins,sg
,			
пропало	пропасть	V	n,past,sg
,			
нету	нету	ADV	
!			
И	и	CONJ	
Пэт	Пэт	S	f,nom,sg
выла	выть	V	f,past,sg
от	от	PR	
злости	злость	S	f,gen,sg
:			
ее	ее	APRO	
Грегори	Грегори	S	m,nom,sg
--			
ее	ее	APRO	
лучезарный	лучезарный	A	m,nom,sg
муж	муж	S	m,nom,sg
--			
был	быть	V	m,past,sg
тоже	тоже	ADV	
во	во	PR	
власти	власть	S	f,loc,sg
этого	этот	APRO	gen,m,sg
всемогущего	всемогущий	A	gen,m,sg
микрооргазма	микрооргазм	S	gen,m,sg
Он	он	SPRO	3p,m,nom,sg
засыпал	засыпать	V	m,past,sg
,			
ухватившись	ухватиться	V	ger,past
за	за	PR	
ее	ее	APRO	
пальцы	палец	S	acc,m,pl
,			
и	и	CONJ	
,			
оставляя	оставлять	V	ger,pres
его	он	SPRO	3p,acc,m,sg
,			
надо	надо	ADV	
было	быть	V	n,past,sg
с	с	PR	
величайшей	величайший	A	f,ins,sg
осторожностью	осторожность	S	f,ins,sg
высвобождать	высвобождать	V	inf
руку	рука	S	acc,f,sg
,			
чтобы	чтобы	CONJ	
он	он	SPRO	3p,m,nom,sg
не	не	ADV	
проснулся	проснуться	V	m,past,sg
с	с	PR	
криком	крик	S	ins,m,sg
ужаса	ужас	S	gen,m,sg
.			
--			
Хотел	хотеть	V	m,past,sg
бы	бы	ADV	
добавить	добавить	V	inf
разумное	разумный	A	acc,n,sg
:			
как	как	ADV	
может	мочь	V	3p,pres,sg
инженер	инженер	S	m,nom,sg
что-нибудь	что-нибудь	SPRO	acc
портить	портить	V	inf
?			
Не	не	ADV	
сотвори	сотворить	V	2p,imper,sg
себе	себя	SPRO	dat
кумира	кумир	S	acc,m,sg
,			
Но	но	CONJ	
лишь	лишь	ADV	
люби	любить	V	2p,imper,sg
,			
как	как	CONJ	
Я	я	SPRO	1p,nom,sg
люблю	любить	V	1p,pres,sg
--			
В	в	PR	
твоем	твой	APRO	loc,n,sg
подобье	подобье	S	loc,n,sg
--			
Образ	образ	S	acc,m,sg
Мира	мир	S	gen,m,sg
,			
И	и	CONJ	
не	не	ADV	
скорби	скорбеть	V	2p,imper,sg
,			
как	как	CONJ	
Я	я	SPRO	1p,nom,sg
скорблю	скорбеть	V	1p,pres,sg
.			
Я	я	SPRO	1p,nom,sg
заставил	заставить	V	m,past,sg
ее	она	SPRO	3p,acc,f,sg
повторить	повторить	V	inf
задание	задание	S	acc,n,sg
.			
Тут	тут	ADV	
на	на	PR	
кухню	кухня	S	acc,f,sg
явилась	явиться	V	f,past,sg
Майка	Майка	S	f,nom,sg
.			
--			
А	а	CONJ	
вы	вы	SPRO	2p,nom,pl
разбудите	разбудить	V	2p,pl,pres
нас	мы	SPRO	1p,acc,pl
,			
если	если	CONJ	
новый	новый	A	m,nom,sg
цыпленок	цыпленок	S	m,nom,sg
выведется	вывестись	V	3p,pres,sg
?			
Но	но	CONJ	
на	на	PR	
этот	этот	APRO	acc,m,sg
раз	раз	S	acc,m,sg
его	он	SPRO	3p,gen,m,sg
совсем	совсем	ADV	
не	не	ADV	
было	быть	V	n,past,sg
.			
--			
Тартасов	Тартасов	S	m,nom,sg
хитрец	хитрец	S	m,nom,sg
.			
Как	как	CONJ	
все	весь	APRO	nom,pl
писатели	писатель	S	m,nom,pl
...			
Таков	таков	APRO	m,nom,sg
их	их	APRO	
удел	удел	S	m,nom,sg
.			
Стояли	стоять	V	past,pl
в	в	PR	
кружок	кружок	S	acc,m,sg
и	и	CONJ	
по-честному	по-честному	ADV	
рассуждали	рассуждать	V	past,pl
.			
Небо	небо	S	n,nom,sg
,			
в	в	PR	
которое	который	APRO	acc,n,sg
можно	можно	ADV	
глядеть	глядеть	V	inf
...			
Задрав	задрать	V	ger,past
голову	голова	S	acc,f,sg
...			
Идти	идти	V	inf
и	и	CONJ	
думать	думать	V	inf
о	о	PR	
синеве	синева	S	f,loc,sg
.			
Внеконфессиональное	внеконфессиональный	A	n,nom,sg
государство	государство	S	n,nom,sg
представляет	представлять	V	3p,pres,sg
собой	себя	SPRO	acc
государство	государство	S	acc,n,sg
,			
которое	который	APRO	n,nom,sg
сознательно	сознательно	ADV	
отстраняет	отстранять	V	3p,pres,sg
себя	себя	SPRO	acc
от	от	PR	
всего	все	SPRO	gen
,			
что	что	SPRO	nom
происходит	происходить	V	3p,pres,sg
в	в	PR	
лоне	лоно	S	loc,n,sg
религии	религия	S	f,gen,sg
,			
позволяя	позволять	V	ger,pres
решать	решать	V	inf
эти	этот	APRO	acc,pl
вопросы	вопрос	S	acc,m,pl
гражданскому	гражданский	A	dat,n,sg
обществу	общество	S	dat,n,sg
.			
Неуведомление	неуведомление	S	n,nom,sg
или	или	CONJ	
несвоевременное	несвоевременный	A	n,nom,sg
уведомление	уведомление	S	n,nom,sg
об	об	PR	
указанных	указать	V	loc,partcp,pass,past,pl
обстоятельствах	обстоятельство	S	loc,n,pl
лишает	лишать	V	3p,pres,sg
Стороны	сторона	S	acc,f,pl
права	право	S	gen,n,sg
ссылаться	ссылаться	V	inf
на	на	PR	
любые	любой	APRO	acc,pl
из	из	PR	
этих	этот	APRO	gen,pl
обстоятельств	обстоятельство	S	gen,n,pl
и	и	CONJ	
не	не	ADV	
освобождает	освобождать	V	3p,pres,sg
от	от	PR	
ответственности	ответственность	S	f,gen,sg
по	по	PR	
настоящему	настоящий	A	dat,m,sg
Договору	договор	S	dat,m,sg
.			
Президиум	президиум	S	m,nom,sg
Высшего	Высший	A	gen,m,sg
Арбитражного	Арбитражный	A	gen,m,sg
Суда	Суд	S	gen,m,sg
РФ	РФ	S	f,gen,sg
в	в	PR	
информационном	информационный	A	loc,n,sg
письме	письмо	S	loc,n,sg
от	от	PR	
29			
сентября	сентябрь	S	gen,m,sg
1999			
г.	год	S	gen,m,sg
№			
48			
"			
О	о	PR	
некоторых	некоторый	APRO	loc,pl
вопросах	вопрос	S	loc,m,pl
судебной	судебный	A	f,gen,sg
практики	практика	S	f,gen,sg
,			
возникающих	возникать	V	act,loc,partcp,pl,pres
при	при	PR	
рассмотрении	рассмотрение	S	loc,n,sg
споров	спор	S	gen,m,pl
,			
связанных	связывать	V	loc,partcp,pass,past,pl
с	с	PR	
договорами	договор	S	ins,m,pl
на	на	PR	
оказание	оказание	S	acc,n,sg
правовых	правовой	A	gen,pl
услуг	услуга	S	f,gen,pl
",			
отметил	отметить	V	m,past,sg
,			
что	что	CONJ	
не	не	ADV	
подлежат	подлежать	V	3p,pl,pres
удовлетворению	удовлетворение	S	dat,n,sg
требования	требование	S	gen,n,sg
исполнителя	исполнитель	S	gen,m,sg
о	о	PR	
выплате	выплата	S	f,loc,sg
вознаграждения	вознаграждение	S	gen,n,sg
,			
если	если	CONJ	
истец	истец	S	m,nom,sg
обосновывает	обосновывать	V	3p,pres,sg
их	они	SPRO	3p,acc,pl
условием	условие	S	ins,n,sg
договора	договор	S	gen,m,sg
,			
ставящим	ставить	V	act,ins,n,partcp,pres,sg
размер	размер	S	acc,m,sg
оплаты	оплата	S	f,gen,sg
услуг	услуга	S	f,gen,pl
в	в	PR	
зависимость	зависимость	S	acc,f,sg
от	от	PR	
решения	решение	S	gen,n,sg
суда	суд	S	gen,m,sg
или	или	CONJ	
государственного	государственный	A	gen,m,sg
органа	орган	S	gen,m,sg
,			
которое	который	APRO	n,nom,sg
будет	быть	V	3p,pres,sg
принято	принять	V	brev,n,nom,partcp,pass,past,sg
в	в	PR	
будущем	будущее	S	loc,n,sg
.			
После	после	PR	
произнесения	произнесение	S	gen,n,sg
речей	речь	S	f,gen,pl
всеми	весь	APRO	ins,pl
лицами	лицо	S	ins,n,pl
,			
участвующими	участвовать	V	act,ins,partcp,pl,pres
в	в	PR	
деле	дело	S	loc,n,sg
,			
их	их	APRO	
представителями	представитель	S	ins,m,pl
они	они	SPRO	
могут	мочь	V	3p,pl,pres
выступить	выступить	V	inf
с	с	PR	
репликами	реплика	S	f,ins,pl
в	в	PR	
связи	связь	S	f,loc,sg
со	со	PR	
сказанным	сказать	V	loc,n,partcp,pass,past,sg
.			
Протокол	протокол	S	m,nom,sg
судебного	судебный	A	gen,n,sg
заседания	заседание	S	gen,n,sg
или	или	CONJ	
совершенного	совершать	V	gen,n,partcp,pass,past,sg
вне	вне	PR	
судебного	судебный	A	gen,n,sg
заседания	заседание	S	gen,n,sg
отдельного	отдельный	A	gen,n,sg
процессуального	процессуальный	A	gen,n,sg
действия	действие	S	gen,n,sg
должен	должен	ADV	
отражать	отражать	V	inf
все	весь	APRO	acc,pl
существенные	существенный	A	acc,pl
сведения	сведение	S	acc,n,pl
о	о	PR	
разбирательстве	разбирательство	S	loc,n,sg
дела	дело	S	gen,n,sg
или	или	CONJ	
совершении	совершение	S	loc,n,sg
отдельного	отдельный	A	gen,n,sg
процессуального	процессуальный	A	gen,n,sg
действия	действие	S	gen,n,sg
.			
Лицо	лицо	S	n,nom,sg
,			
представляющее	представлять	V	act,n,nom,partcp,pres,sg
